algorithm,n,length,time
dicho,0,0,0.0015
dicho,0,0,0.0017
dicho,0,0,0.0018
dicho,0,0,0.0018
dicho,0,0,0.0016
dicho,100,6,0.1496
dicho,100,6,0.1523
dicho,100,6,0.1505
dicho,100,6,0.1505
dicho,100,6,0.1498
dicho,200,7,0.83
dicho,200,7,0.8319
dicho,200,7,0.8425
dicho,200,7,0.8397
dicho,200,7,0.8624
dicho,300,7,1.8962
dicho,300,7,2.0367
dicho,300,7,1.8973
dicho,300,7,1.9056
dicho,300,7,1.8973
dicho,400,7,6.2623
dicho,400,7,4.3129
dicho,400,7,4.6732
dicho,400,7,5.8102
dicho,400,7,4.9775
dicho,500,8,11.603
dicho,500,8,10.6642
dicho,500,8,8.2619
dicho,500,8,7.7059
dicho,500,8,9.2159
dicho,600,10,13.9349
dicho,600,10,14.3304
dicho,600,10,15.7209
dicho,600,10,13.6821
dicho,600,10,14.2638
dicho,700,10,17.6362
dicho,700,10,33.2164
dicho,700,10,22.0448
dicho,700,10,25.1428
dicho,700,10,19.4861
dicho,800,10,19.2915
dicho,800,10,19.6682
dicho,800,10,19.529
dicho,800,10,19.3773
dicho,800,10,19.2933
dicho,900,10,28.1747
dicho,900,10,26.9136
dicho,900,10,26.6607
dicho,900,10,29.0335
dicho,900,10,28.2175
dicho,1000,15,39.9332
dicho,1000,15,37.7154
dicho,1000,15,39.1419
dicho,1000,15,39.9773
dicho,1000,15,41.0252
dicho,1100,15,48.5172
dicho,1100,15,42.6516
dicho,1100,15,47.017
dicho,1100,15,46.3078
dicho,1100,15,48.2608
dicho,1200,15,51.1518
dicho,1200,15,48.0491
dicho,1200,15,50.534
dicho,1200,15,50.2622
dicho,1200,15,50.1832
dicho,1300,15,58.4272
dicho,1300,15,56.5603
dicho,1300,15,56.3773
dicho,1300,15,72.4229
dicho,1300,15,60.0774
dicho,1400,15,65.787
dicho,1400,15,67.4594
dicho,1400,15,65.4567
dicho,1400,15,66.146
dicho,1400,15,67.1145
dicho,1500,17,77.6982
dicho,1500,17,80.6148
dicho,1500,17,84.111
dicho,1500,17,80.8241
dicho,1500,17,79.1963
dicho,1600,17,76.481
dicho,1600,17,78.3059
dicho,1600,17,83.244
dicho,1600,17,79.0066
dicho,1600,17,98.3829
dicho,1700,18,93.8948
dicho,1700,18,102.5724
dicho,1700,18,96.0228
dicho,1700,18,97.5634
dicho,1700,18,97.174
dicho,1800,18,108.8685
dicho,1800,18,108.048
dicho,1800,18,106.6843
dicho,1800,18,103.6699
dicho,1800,18,106.1525
dicho,1900,22,140.7739
dicho,1900,22,140.4918
dicho,1900,22,143.1365
dicho,1900,22,139.2902
dicho,1900,22,135.8501
dicho,2000,23,177.2803
dicho,2000,23,195.7549
dicho,2000,23,171.4836
dicho,2000,23,184.7776
dicho,2000,23,190.2023
dicho,2100,23,166.4249
dicho,2100,23,168.212
dicho,2100,23,167.8645
dicho,2100,23,163.0714
dicho,2100,23,195.6489
dicho,2200,23,182.9223
dicho,2200,23,183.8434
dicho,2200,23,191.6143
dicho,2200,23,195.2008
dicho,2200,23,172.4747
dicho,2300,23,193.5421
dicho,2300,23,190.8545
dicho,2300,23,211.7786
dicho,2300,23,187.7283
dicho,2300,23,183.369
dicho,2400,23,204.9581
dicho,2400,23,201.7687
dicho,2400,23,225.6776
dicho,2400,23,261.6781
dicho,2400,23,227.2796
dicho,2500,23,262.1919
dicho,2500,23,290.1237
dicho,2500,23,259.6974
dicho,2500,23,256.8913
dicho,2500,23,259.76
dicho,2600,23,277.2837
dicho,2600,23,295.044
dicho,2600,23,293.8453
dicho,2600,23,261.4723
dicho,2600,23,279.4105
dicho,2700,23,274.3678
dicho,2700,23,264.9738
dicho,2700,23,289.9172
dicho,2700,23,278.0815
dicho,2700,23,272.0899
dicho,2800,23,289.8279
dicho,2800,23,289.3475
dicho,2800,23,287.9865
dicho,2800,23,321.7799
dicho,2800,23,286.8125
dicho,2900,23,315.4967
dicho,2900,23,306.2082
dicho,2900,23,305.4681
dicho,2900,23,306.4585
dicho,2900,23,302.4277
dicho,3000,23,367.1285
dicho,3000,23,336.3002
dicho,3000,23,323.7736
dicho,3000,23,337.4499
dicho,3000,23,323.1697
dicho,3100,23,290.2871
dicho,3100,23,297.4492
dicho,3100,23,295.9433
dicho,3100,23,319.4476
dicho,3100,23,327.306
dicho,3200,23,349.482
dicho,3200,23,327.6605
dicho,3200,23,351.7013
dicho,3200,23,325.6934
dicho,3200,23,318.6847
dicho,3300,23,349.3619
dicho,3300,23,347.5864
dicho,3300,23,346.2711
dicho,3300,23,343.8844
dicho,3300,23,342.285
dicho,3400,23,386.941
dicho,3400,23,374.1469
dicho,3400,23,374.7268
dicho,3400,23,404.1619
dicho,3400,23,376.7558
dicho,3500,23,432.9938
dicho,3500,23,422.4343
dicho,3500,23,427.1793
dicho,3500,23,422.7268
dicho,3500,23,420.8816
dicho,3600,23,420.8841
dicho,3600,23,420.2652
dicho,3600,23,416.3534
dicho,3600,23,421.4091
dicho,3600,23,412.3683
dicho,3700,23,480.8881
dicho,3700,23,466.7042
dicho,3700,23,460.0494
dicho,3700,23,445.9907
dicho,3700,23,450.9086
dicho,3800,23,486.3813
dicho,3800,23,501.8878
dicho,3800,23,518.6452
dicho,3800,23,478.2032
dicho,3800,23,485.6656
dicho,3900,23,512.1735
dicho,3900,23,507.093
dicho,3900,23,508.4864
dicho,3900,23,524.39
dicho,3900,23,502.8345
dicho,4000,23,578.5267
dicho,4000,23,588.6483
dicho,4000,23,571.4488
dicho,4000,23,569.0747
dicho,4000,23,561.3084
dicho,4100,23,522.8087
dicho,4100,23,526.5085
dicho,4100,23,527.6332
dicho,4100,23,531.9347
dicho,4100,23,543.2659
dicho,4200,23,545.515
dicho,4200,23,561.8514
dicho,4200,23,547.4779
dicho,4200,23,543.8386
dicho,4200,23,549.6038
dicho,4300,23,563.5262
dicho,4300,23,575.4642
dicho,4300,23,565.1381
dicho,4300,23,563.0599
dicho,4300,23,565.9117
dicho,4400,23,623.4867
dicho,4400,23,624.6435
dicho,4400,23,623.903
dicho,4400,23,621.623
dicho,4400,23,626.2983
dicho,4500,27,756.1151
dicho,4500,27,751.7302
dicho,4500,27,728.5054
dicho,4500,27,750.0899
dicho,4500,27,742.5058
dicho,4600,27,776.4643
dicho,4600,27,766.0676
dicho,4600,27,784.3272
dicho,4600,27,776.667
dicho,4600,27,776.4004
dicho,4700,27,829.4081
dicho,4700,27,819.8855
dicho,4700,27,837.5944
dicho,4700,27,809.6194
dicho,4700,27,807.7113
dicho,4800,27,831.9229
dicho,4800,27,858.5822
dicho,4800,27,836.4265
dicho,4800,27,854.7889
dicho,4800,27,848.3217
dicho,4900,27,979.7422
dicho,4900,27,976.1059
dicho,4900,27,969.5009
dicho,4900,27,968.3832
dicho,4900,27,924.3046
dicho,5000,27,1024.3294
dicho,5000,27,1047.9854
dicho,5000,27,1027.0203
dicho,5000,27,1005.9489
dicho,5000,27,1009.0731
dicho,5100,27,1029.2171
dicho,5100,27,1030.6624
dicho,5100,27,1057.2733
dicho,5100,27,1063.7031
dicho,5100,27,1040.38
dicho,5200,27,984.9394
dicho,5200,27,1004.0372
dicho,5200,27,1002.9439
dicho,5200,27,976.5628
dicho,5200,27,993.0949
dicho,5300,27,1033.8184
dicho,5300,27,1022.3858
dicho,5300,27,1050.4801
dicho,5300,27,1015.5395
dicho,5300,27,1025.9038
dicho,5400,27,1058.194
dicho,5400,27,1054.0808
dicho,5400,27,1061.89
dicho,5400,27,1070.2454
dicho,5400,27,1104.1551
dicho,5500,44,1216.9961
dicho,5500,44,1230.499
dicho,5500,44,1201.8357
dicho,5500,44,1206.8822
dicho,5500,44,1205.1502
dicho,5600,44,1261.0866
dicho,5600,44,1262.444
dicho,5600,44,1257.9732
dicho,5600,44,1250.3631
dicho,5600,44,1264.1357
dicho,5700,44,1299.279
dicho,5700,44,1315.059
dicho,5700,44,1310.1284
dicho,5700,44,1298.4992
dicho,5700,44,1304.879
dicho,5800,44,1361.8582
dicho,5800,44,1360.2936
dicho,5800,44,1367.3968
dicho,5800,44,1353.7528
dicho,5800,44,1364.9235
dicho,5900,44,1408.9588
dicho,5900,44,1415.2498
dicho,5900,44,1443.3677
dicho,5900,44,1404.2043
dicho,5900,44,1400.5015
dicho,6000,44,1438.4579
dicho,6000,44,1432.6485
dicho,6000,44,1433.4479
dicho,6000,44,1447.0482
dicho,6000,44,1444.818
dicho,6100,44,1371.546
dicho,6100,44,1376.1814
dicho,6100,44,1369.0118
dicho,6100,44,1359.9211
dicho,6100,44,1342.6048
dicho,6200,44,1902.3316
dicho,6200,44,1862.1784
dicho,6200,44,1670.8138
dicho,6200,44,1713.3017
dicho,6200,44,1570.32
dicho,6300,44,1625.4234
dicho,6300,44,1626.1341
dicho,6300,44,1621.8631
dicho,6300,44,1613.4637
dicho,6300,44,1603.323
dicho,6400,44,1677.9675
dicho,6400,44,1691.9895
dicho,6400,44,1683.8538
dicho,6400,44,1674.7587
dicho,6400,44,1681.4482
dicho,6500,44,1757.1422
dicho,6500,44,1718.399
dicho,6500,44,1725.8078
dicho,6500,44,1734.3374
dicho,6500,44,1723.5188
dicho,6600,44,1636.9724
dicho,6600,44,1642.1292
dicho,6600,44,1611.9089
dicho,6600,44,1658.0669
dicho,6600,44,1643.0097
dicho,6700,44,1797.5963
dicho,6700,44,1910.5196
dicho,6700,44,1868.9131
dicho,6700,44,1885.4465
dicho,6700,44,2086.9651
dicho,6800,44,2065.3242
dicho,6800,44,1895.416
dicho,6800,44,1906.1656
dicho,6800,44,1858.241
dicho,6800,44,1853.0304
dicho,6900,44,1911.9397
dicho,6900,44,1895.6859
dicho,6900,44,1894.8894
dicho,6900,44,1897.4503
dicho,6900,44,1912.4079
dicho,7000,44,1955.8053
dicho,7000,44,1954.2263
dicho,7000,44,1935.8225
dicho,7000,44,1947.0452
dicho,7000,44,1945.7626
dicho,7100,44,2062.8529
dicho,7100,44,2037.3812
dicho,7100,44,2038.5425
dicho,7100,44,2045.8125
dicho,7100,44,2109.1833
dicho,7200,44,2090.8881
dicho,7200,44,2085.1672
dicho,7200,44,2060.0034
dicho,7200,44,2065.4595
dicho,7200,44,2086.3714
dicho,7300,44,2147.1246
dicho,7300,44,2093.1606
dicho,7300,44,2124.1132
dicho,7300,44,2128.1272
dicho,7300,44,2128.7971
dicho,7400,44,2169.4909
dicho,7400,44,2177.369
dicho,7400,44,2178.0805
dicho,7400,44,2155.4439
dicho,7400,44,2171.9805
dicho,7500,44,2262.1035
dicho,7500,44,2269.9546
dicho,7500,44,2283.2518
dicho,7500,44,2266.5006
dicho,7500,44,2291.63
dicho,7600,44,2190.248
dicho,7600,44,2185.5215
dicho,7600,44,2176.3191
dicho,7600,44,2196.2464
dicho,7600,44,2183.2055
dicho,7700,44,2259.1668
dicho,7700,44,2268.4547
dicho,7700,44,2252.7718
dicho,7700,44,2275.8497
dicho,7700,44,2271.2756
dicho,7800,44,2324.9908
dicho,7800,44,2315.7355
dicho,7800,44,2302.8778
dicho,7800,44,2296.5784
dicho,7800,44,2306.7172
dicho,7900,44,2367.1978
dicho,7900,44,2368.8546
dicho,7900,44,2375.8758
dicho,7900,44,2346.9236
dicho,7900,44,2355.7194
dicho,8000,44,2523.0683
dicho,8000,44,2476.2628
dicho,8000,44,2470.935
dicho,8000,44,2487.7573
dicho,8000,44,2478.2402
dicho,8100,44,2542.4012
dicho,8100,44,2536.7366
dicho,8100,44,2540.5663
dicho,8100,44,2585.5903
dicho,8100,44,2553.4326
dicho,8200,44,2704.5206
dicho,8200,44,2724.7101
dicho,8200,44,2656.858
dicho,8200,44,2680.1463
dicho,8200,44,2675.478
dicho,8300,44,2740.5591
dicho,8300,44,2738.2435
dicho,8300,44,2721.6306
dicho,8300,44,2715.0436
dicho,8300,44,2741.0366
dicho,8400,44,2799.4259
dicho,8400,44,2794.2463
dicho,8400,44,2813.3339
dicho,8400,44,2793.8897
dicho,8400,44,2806.7008
dicho,8500,44,2802.4025
dicho,8500,44,2801.2811
dicho,8500,44,3895.6195
dicho,8500,44,4000.8655
dicho,8500,44,3851.0992
dicho,8600,44,3776.7486
dicho,8600,44,3441.5053
dicho,8600,44,3355.4216
dicho,8600,44,4273.6064
dicho,8600,44,3374.9832
dicho,8700,44,3605.5759
dicho,8700,44,3465.1842
dicho,8700,44,3654.2504
dicho,8700,44,3905.4561
dicho,8700,44,4138.8219
dicho,8800,44,3591.4631
dicho,8800,44,3905.7131
dicho,8800,44,4169.6698
dicho,8800,44,4277.3162
dicho,8800,44,3547.2093
dicho,8900,44,4035.7264
dicho,8900,44,3663.928
dicho,8900,44,3933.1952
dicho,8900,44,4058.3894
dicho,8900,44,4161.1216
dicho,9000,44,4265.5531
dicho,9000,44,4070.9628
dicho,9000,44,4036.5226
dicho,9000,44,4091.6743
dicho,9000,44,4180.7085
dicho,9100,44,4472.2764
dicho,9100,44,4276.61
dicho,9100,44,4278.4825
dicho,9100,44,4287.1622
dicho,9100,44,4290.1085
dicho,9200,44,4894.0937
dicho,9200,44,4097.2984
dicho,9200,44,3849.1541
dicho,9200,44,3648.6493
dicho,9200,44,3506.1695
dicho,9300,44,3511.0757
dicho,9300,44,3619.3154
dicho,9300,44,3705.1838
dicho,9300,44,3677.1568
dicho,9300,44,3795.2532
dicho,9400,44,3498.9375
dicho,9400,44,3468.0217
dicho,9400,44,3492.5535
dicho,9400,44,3541.1207
dicho,9400,44,3522.5685
dicho,9500,44,3746.323
dicho,9500,44,3731.5898
dicho,9500,44,3668.1956
dicho,9500,44,3721.9659
dicho,9500,44,3665.9604
dicho,9600,44,3746.3321
dicho,9600,44,3754.3492
dicho,9600,44,3780.5781
dicho,9600,44,3765.2772
dicho,9600,44,3737.995
dicho,9700,44,3830.7869
dicho,9700,44,3830.7275
dicho,9700,44,3798.9378
dicho,9700,44,3845.7447
dicho,9700,44,3807.7685
dicho,9800,44,3696.6956
dicho,9800,44,3692.3839
dicho,9800,44,3684.6836
dicho,9800,44,3701.836
dicho,9800,44,3701.8747
dicho,9900,44,3754.3432
dicho,9900,44,3725.7615
dicho,9900,44,3738.84
dicho,9900,44,3723.8919
dicho,9900,44,3752.5406
dicho,10000,44,3852.0984
dicho,10000,44,3819.5164
dicho,10000,44,3821.9373
dicho,10000,44,3811.9591
dicho,10000,44,3811.2585
hash,0,0,0.0016
hash,0,0,0.0017
hash,0,0,0.0017
hash,0,0,0.0017
hash,0,0,0.0017
hash,100,6,0.1407
hash,100,6,0.1401
hash,100,6,0.1406
hash,100,6,0.1864
hash,100,6,0.1901
hash,200,7,0.279
hash,200,7,0.2694
hash,200,7,0.3808
hash,200,7,0.2703
hash,200,7,0.2707
hash,300,7,0.3725
hash,300,7,0.3723
hash,300,7,0.3761
hash,300,7,0.3739
hash,300,7,0.3725
hash,400,7,0.77
hash,400,7,0.7658
hash,400,7,0.6847
hash,400,7,0.7051
hash,400,7,1.1567
hash,500,8,0.5718
hash,500,8,1.0429
hash,500,8,0.7178
hash,500,8,0.761
hash,500,8,0.5637
hash,600,10,0.7024
hash,600,10,0.7942
hash,600,10,0.6621
hash,600,10,0.7045
hash,600,10,0.7156
hash,700,10,1.0112
hash,700,10,0.8074
hash,700,10,0.7702
hash,700,10,0.7686
hash,700,10,1.5938
hash,800,10,0.9089
hash,800,10,0.9114
hash,800,10,0.9083
hash,800,10,0.9094
hash,800,10,0.9204
hash,900,10,1.0467
hash,900,10,1.0434
hash,900,10,1.0636
hash,900,10,1.0603
hash,900,10,1.0425
hash,1000,15,1.2488
hash,1000,15,1.2086
hash,1000,15,1.1796
hash,1000,15,1.6179
hash,1000,15,1.4603
hash,1100,15,1.2943
hash,1100,15,1.9907
hash,1100,15,1.3358
hash,1100,15,1.3226
hash,1100,15,1.326
hash,1200,15,1.3338
hash,1200,15,2.1313
hash,1200,15,2.2615
hash,1200,15,2.1709
hash,1200,15,1.3316
hash,1300,15,1.5337
hash,1300,15,3.004
hash,1300,15,2.9546
hash,1300,15,2.9633
hash,1300,15,2.9547
hash,1400,15,1.5844
hash,1400,15,1.586
